Name,Email,Course/Event,Date
Alice Johnson,alice@example.com,Python Fundamentals,2026-04-04
Bob Smith,bob@example.com,Data Science Bootcamp,2026-04-04
Carol White,carol@example.com,Web Development,2026-04-04
David Lee,david@example.com,Machine Learning,2026-04-04
Eva Martinez,eva@example.com,Cloud Computing,2026-04-04
James Carter,james@example.com,Cybersecurity Essentials,2026-04-04
Sara Ahmed,sara@example.com,UI/UX Design,2026-04-04
Michael Brown,michael@example.com,DevOps & CI/CD,2026-04-04
Priya Patel,priya@example.com,Data Analytics,2026-04-04
Tom Wilson,tom@example.com,Blockchain Basics,2026-04-04
